City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Zhumadian,CN,80.96,overcast clouds,32.9794,114.0294,Ouyue House Hotel
375,Ngawen,ID,78.71,overcast clouds,-7.0032,111.3129,Bu Sarpi serabi
376,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
377,Coron,PH,84.16,few clouds,11.9986,120.2043,Coron Westown Resort
381,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Vista Roof Restaurant
382,Ciudad Bolivar,VE,76.35,overcast clouds,8.1222,-63.5497,Hotel Edi
388,Kaffrine,SN,79.34,overcast clouds,14.1059,-15.5508,Beuleup counda motel
394,Fomboni,KM,79.57,clear sky,-12.28,43.7425,Auberge les abou
395,Vung Tau,VN,82.36,scattered clouds,10.346,107.0843,Seaside Resort
398,San Fernando,PH,87.53,overcast clouds,15.0286,120.6898,Maharlika Hostel
400,Lazaro Cardenas,MX,83.73,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
401,Taxisco,GT,79.88,overcast clouds,14.0708,-90.4631,HOSTAL LAS MARIAS
412,Wahiawa,US,84.52,overcast clouds,21.5028,-158.0236,The Inn At Schofield
416,Pokaran,IN,84.76,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
424,Muncar,ID,81.0,overcast clouds,-8.4333,114.3333,Zaky Homestay
425,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
432,Tanout,NE,82.33,scattered clouds,14.9709,8.8879,
433,Youkounkoun,GN,75.09,moderate rain,12.5333,-13.1333,
438,Yenagoa,NG,75.22,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
441,Alvorada,BR,77.88,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
443,Kita,ML,88.41,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
445,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
447,Manavalakurichi,IN,78.53,overcast clouds,8.1333,77.3,Jebinrio home
450,Bambanglipuro,ID,78.22,overcast clouds,-7.95,110.2833,Puri Brata
459,Thinadhoo,MV,83.79,overcast clouds,0.5333,72.9333,
460,Arawa,PG,86.92,scattered clouds,-6.2132,155.5367,Coastline Guest House
465,Pyay,MM,81.5,broken clouds,18.8167,95.2167,Shwe Pyi Thar
468,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
470,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
472,Muscatine,US,86.18,few clouds,41.4667,-91.1335,Bed Bekfast
474,Manzanillo,CU,79.18,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
475,Karratha,AU,76.53,clear sky,-20.7377,116.8463,ibis Styles Karratha
476,Linqu,CN,79.12,clear sky,36.5156,118.5397,Jiaohua Hotel
479,La Palma,US,89.11,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
486,Sabha,LY,76.53,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
488,Chenghai,CN,80.51,few clouds,23.4632,116.768,Guangdong Hotel
490,Kavieng,PG,83.08,light rain,-2.5744,150.7967,Nusa Island Retreat
493,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
495,Indi,IN,78.19,overcast clouds,17.1667,75.9667,Shree Gurubhojanalaya
507,Paciran,ID,80.8,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
512,Marsh Harbour,BS,81.46,clear sky,26.5412,-77.0636,Abaco Beach Resort
517,Port-Gentil,GA,77.76,light rain,-0.7193,8.7815,Fengshui Residence
518,Micheweni,TZ,76.82,broken clouds,-4.9667,39.8333,
519,Catio,GW,79.54,overcast clouds,11.2833,-15.25,Pausada Morabedja
523,Lompoc,US,82.54,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
524,Grand-Lahou,CI,77.41,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
534,Garowe,SO,79.12,broken clouds,8.4054,48.4845,Curubo Hotel
536,Tabas,IR,82.62,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
537,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
541,Avera,US,87.85,overcast clouds,33.194,-82.5271,
543,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
549,Maharajganj,IN,88.05,clear sky,27.1333,83.5667,Pt. Deen Dayal Hostel
551,Solnechnyy,RU,75.4,few clouds,50.7214,136.6319,Hotel complex Pastoral
554,Kiamba,PH,84.76,overcast clouds,5.9894,124.6242,Alquiza's Bahay Bakasyunan Tourist Inn (Hotel)
562,Kilindoni,TZ,78.08,light rain,-7.9139,39.6668,Bustani B&B
563,Santa Maria Del Oro,MX,88.21,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
564,Suleja,NG,76.19,scattered clouds,9.1758,7.1808,Capy Motel
569,Galle,LK,80.17,moderate rain,6.0367,80.217,Amangalla
573,Kidal,ML,88.05,broken clouds,18.4411,1.4078,
579,Champerico,GT,77.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
582,Kharan,PK,82.62,scattered clouds,28.5833,65.4167,Dil Aram Bangla
588,Yuncheng,CN,80.02,clear sky,35.0231,110.9928,晋州快捷酒店
593,Koutiala,ML,80.28,scattered clouds,12.3917,-5.4642,Hotel La Chaumiere
594,Hobyo,SO,78.48,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
598,Hounde,BF,79.2,broken clouds,11.5,-3.5167,Carrefour où ouvriers dorment
604,Biak,ID,80.78,scattered clouds,-0.9131,122.8766,Penginapan Kim
611,Sao Jose De Ribamar,BR,80.98,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
612,Oceanside,US,86.02,broken clouds,33.1959,-117.3795,Club Wyndham Oceanside Pier Resort
618,Loandjili,CG,75.31,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
621,Khipro,PK,83.98,clear sky,25.8285,69.3772,Wali M Dars Hottle
624,Ormara,PK,82.22,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
625,Kailua,US,87.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
630,Tautira,PF,78.4,few clouds,-17.7333,-149.15,Pension Oaoa
635,Manokwari,ID,84.18,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
636,Wapi Pathum,TH,89.06,overcast clouds,15.8452,103.3768,Nayai Resort
639,Monticello,US,79.14,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
641,Nioro,GM,79.43,overcast clouds,13.35,-15.75,
649,Binzhou,CN,82.76,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
653,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
655,Alibag,IN,82.47,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
657,Abu Kamal,SY,77.13,clear sky,34.4506,40.9171,البوكمال
658,Kelapa Sawit,MY,77.11,few clouds,1.6698,103.5327,Tea Garden Hotel
660,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
663,Filadelfia,US,75.22,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
665,Poso,ID,83.61,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
669,Kirakira,SB,84.54,scattered clouds,-10.4544,161.9205,SanBiz Lodge
671,San-Pedro,CI,77.34,overcast clouds,4.7485,-6.6363,Hotel Maria
677,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
681,Lusambo,CD,75.15,overcast clouds,-4.9667,23.45,
683,Ende,ID,80.04,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
684,Boyolangu,ID,79.07,overcast clouds,-8.1181,111.8935,Yos ega cv
686,Salinas,US,76.98,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
687,Nabire,ID,81.45,broken clouds,-3.3667,135.4833,Hotel Nusantara I
690,Kupang,ID,81.41,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
691,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
692,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
693,Dingle,PH,85.15,few clouds,10.9995,122.6711,SEGAYA PROPERTY
