City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
121,Zaqatala,AZ,41.6336,46.6433,63.7,69,2,4.63,clear sky,2022-06-13 00:50:40
122,Touros,BR,-5.1989,-35.4608,76.5,83,73,10.09,broken clouds,2022-06-13 00:50:40
123,Carutapera,BR,-1.195,-46.02,75.56,87,1,5.26,clear sky,2022-06-13 00:50:41
124,Almaznyy,RU,48.0448,40.045,62.17,69,5,8.16,clear sky,2022-06-13 00:50:41
125,Corrales,US,35.2378,-106.6067,97.29,12,100,14.0,overcast clouds,2022-06-13 00:50:41
126,Acarau,BR,-2.8856,-40.12,77.16,83,63,8.68,broken clouds,2022-06-13 00:46:11
127,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,98,11.01,overcast clouds,2022-06-13 00:50:42
128,New Norfolk,AU,-42.7826,147.0587,48.92,83,85,4.23,overcast clouds,2022-06-13 00:50:42
129,Longyearbyen,SJ,78.2186,15.6401,39.04,87,100,3.44,overcast clouds,2022-06-13 00:50:42
130,Liverpool,GB,53.4106,-2.9779,55.62,77,40,13.8,scattered clouds,2022-06-13 00:50:43
131,Beringovskiy,RU,63.05,179.3167,44.42,55,20,4.41,few clouds,2022-06-13 00:50:43
132,Busing,PH,13.1514,122.9714,83.71,74,95,7.07,overcast clouds,2022-06-13 00:50:43
133,Arona,ES,28.0996,-16.681,67.82,82,75,3.44,broken clouds,2022-06-13 00:50:44
134,Samarai,PG,-10.6167,150.6667,83.08,73,59,9.71,broken clouds,2022-06-13 00:50:44
135,Oranjestad,AW,12.524,-70.027,82.35,74,40,24.16,scattered clouds,2022-06-13 00:50:44
136,Bengkulu,ID,-3.8004,102.2655,78.17,77,100,3.02,overcast clouds,2022-06-13 00:48:44
137,Nantucket,US,41.2835,-70.0995,68.11,89,75,8.05,broken clouds,2022-06-13 00:46:59
138,Port Blair,IN,11.6667,92.75,78.84,89,75,0.0,mist,2022-06-13 00:50:45
139,Qaqortoq,GL,60.7167,-46.0333,38.77,93,99,2.71,overcast clouds,2022-06-13 00:50:45
140,Zhangye,CN,38.9342,100.4517,75.61,11,0,6.31,clear sky,2022-06-13 00:50:45
141,East London,ZA,-33.0153,27.9116,75.96,30,100,10.11,overcast clouds,2022-06-13 00:48:45
142,Buala,SB,-8.145,159.5921,85.24,64,0,5.93,clear sky,2022-06-13 00:50:46
143,Jamestown,US,42.097,-79.2353,69.39,82,99,1.01,overcast clouds,2022-06-13 00:46:36
144,Brae,GB,60.3964,-1.353,50.38,95,100,19.42,overcast clouds,2022-06-13 00:50:46
145,Yellowknife,CA,62.456,-114.3525,66.72,48,75,9.22,broken clouds,2022-06-13 00:50:46
146,Alexandria,EG,31.2156,29.9553,73.36,78,20,10.36,few clouds,2022-06-13 00:50:47
147,Viedma,AR,-40.8135,-62.9967,57.13,43,100,15.21,overcast clouds,2022-06-13 00:50:24
148,Baijiantan,CN,45.6333,85.1833,89.92,20,71,13.2,broken clouds,2022-06-13 00:50:47
149,Ekhabi,RU,53.5102,142.9671,66.76,53,11,10.18,few clouds,2022-06-13 00:50:47
